amfi_code,sortino
100016,-88.46395995838185
100025,-237.33895162456596
100033,460.9417583017029
101206,453.48984442400996
101207,69.71423665775268
101208,-423.62154242132283
102885,361.80698729236724
102886,-87.50002024191271
102887,274.3663232023564
118632,466.23340180764296
118633,290.9278806647532
118634,187.995686975046
118635,286.770133132747
118636,-154.6083324392298
119092,13.248644369448105
119093,55.71388362777641
119094,429.35696502206775
119095,-32.30276937514685
119120,-94.94528605900807
119551,539.3473165235719
119552,405.66367538633364
119598,422.1797756431631
119599,-23.785589846238206
120503,337.1616738168648
120504,454.9340361130122
120505,511.3969409973682
120506,276.165580691359
120507,265.13521832975414
120841,217.36861901789786
120842,31.4227544059187
120843,595.8086481060132
120844,-47.30620803109042
125497,335.32411367879837
125498,128.22083056866464
148567,601.1823820889423
148568,411.45072642412606
148569,541.022309439206
149322,192.05647533382378
149323,472.5254681076405
149324,408.1878804758352
